ip_proto,port_src,port_dst,size_pkt1,size_pkt2,size_pkt3,size_pkt4,size_pkt5,size_pkt6,size_pkt7,tot_size,Elephant
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,59514916,1
17,7000,7001,190,206,190,830,222,190,1486,59202765,1
17,7001,7000,94,107,94,107,94,107,94,48747328,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,59034992,1
17,7001,7000,86,107,107,102,108,108,109,4405838,1
17,7000,7001,108,1486,1486,1486,1486,1486,1486,58046392,1
17,7001,7000,86,107,86,86,86,154,107,51688702,1
17,7000,7001,190,190,190,190,190,190,190,55539320,1
17,7001,7000,146,107,107,102,108,109,107,43525893,1
17,7001,7000,86,107,107,98,107,107,102,4243082,1
17,7001,7000,126,107,1486,1486,1486,1486,1486,54745247,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,55973671,1
17,7000,7001,86,74,107,190,190,190,262,4613903,1
17,7001,7000,286,107,286,107,226,107,250,4063237,1
17,7000,7001,870,190,190,190,190,190,190,54123554,1
17,7001,7000,258,108,107,86,107,86,107,52302109,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,53333867,1
17,7000,7001,190,190,190,190,190,190,190,3996379,1
17,7001,7000,86,107,102,107,86,107,102,3651565,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,48913167,1
17,7000,7001,108,74,107,1486,1486,1462,190,52326824,1
17,7001,7000,86,107,107,86,107,86,107,3816807,1
17,7000,7001,74,107,107,78,102,102,102,51207328,1
17,7000,7001,190,1486,190,1486,1486,897,211,51504462,1
17,7000,7001,94,107,107,190,1486,1486,1486,3890388,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,51113501,1
17,7001,7000,86,107,102,108,108,108,108,3828020,1
17,7000,7001,86,74,107,190,1486,830,190,50116801,1
17,7001,7000,86,107,102,107,86,107,102,3646764,1
17,7000,7001,94,107,86,74,107,190,1486,3775324,1
17,7001,7000,286,107,250,107,178,107,166,3670961,1
17,7000,7001,86,74,107,190,1486,1486,1486,3729484,1
17,7001,7000,86,107,107,102,107,86,107,3521636,1
17,7000,7001,94,108,107,107,107,107,107,3662613,1
17,7000,7001,108,190,1486,1486,1486,1486,1486,48742370,1
17,7000,7001,86,74,107,190,190,190,190,3659016,1
17,7000,7001,94,107,86,74,107,190,1486,3703045,1
17,7000,7001,94,107,86,74,107,190,94,4035857,1
17,7001,7000,70,86,365,510,107,102,108,43825654,1
17,7001,7000,102,108,108,108,108,108,108,3578875,1
17,7000,7001,190,190,190,190,1486,830,190,47478936,1
17,7001,7000,134,107,110,107,1486,1486,1486,44980488,1
17,7000,7001,190,190,190,206,190,190,190,47137941,1
17,7001,7000,102,107,86,107,102,107,86,3311991,1
17,7000,7001,190,190,190,190,190,190,190,46462052,1
17,7000,7001,190,190,190,190,190,190,190,46156513,1
17,7001,7000,86,381,510,107,86,107,86,3159787,1
17,7001,7000,86,107,102,107,86,102,108,3442706,1
17,7000,7001,94,107,86,74,107,190,1486,3459758,1
17,7001,7000,86,107,102,108,108,108,108,3384031,1
17,7001,7000,86,107,102,108,108,109,109,3344758,1
17,7000,7001,108,286,1486,1486,1486,1486,1486,25151953,1
17,7001,7000,70,86,365,510,107,102,108,41078707,1
17,7001,7000,146,107,107,126,107,86,107,41963633,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,43155288,1
17,7000,7001,102,102,102,102,102,102,102,4468550,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,43081557,1
17,7001,7000,510,107,86,102,108,108,108,39926924,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,40253774,1
17,7000,7001,190,684,190,1486,830,190,1486,41935112,1
17,7000,7001,190,190,107,1486,1486,1486,1486,42843375,1
17,7000,7001,1486,1486,1462,1486,1486,1486,1486,30936237,1
17,7001,7000,107,107,86,107,102,107,1486,42886278,1
17,7000,7001,94,107,86,74,107,190,1486,3249370,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,42546517,1
17,7001,7000,86,365,510,107,86,107,86,38694733,1
17,7000,7001,190,1486,1486,1486,897,190,211,42157158,1
17,7001,7000,108,108,107,107,130,107,107,39558775,1
17,7000,7001,981,190,229,190,349,190,403,41238925,1
17,7001,7000,86,365,510,107,102,108,108,38674768,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,41458851,1
17,7001,7000,1486,1486,1486,1486,1486,1486,1486,39003533,1
17,7001,7000,86,107,86,107,108,86,86,38445276,1
17,7001,7000,86,107,102,108,108,109,107,3118218,1
17,7001,7000,102,108,108,107,102,108,108,26063375,1
17,7001,7000,86,510,102,108,109,110,114,37987456,1
17,7001,7000,86,107,142,107,646,107,118,40331720,1
17,7001,7000,74,108,510,107,94,107,94,2976311,1
17,7000,7001,108,190,211,190,215,190,1486,39643912,1
17,7001,7000,146,107,126,107,1486,1486,1486,40229699,1
17,7001,7000,107,102,108,108,109,109,111,3021883,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,39872024,1
17,7000,7001,108,178,108,107,107,107,107,35372162,1
17,7001,7000,134,107,110,107,1486,1486,1486,39417639,1
17,7000,7001,86,74,107,190,1486,1486,1462,10349643,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,39220151,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,15320758,1
17,7000,7001,102,102,102,102,102,102,102,8248135,1
17,7001,7000,86,107,102,86,108,107,102,2923570,1
17,7001,7000,102,107,126,107,102,107,102,38486985,1
17,7001,7000,102,107,510,108,108,107,86,2988218,1
17,7000,7001,94,108,107,107,107,107,107,29287830,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,38433146,1
17,7000,7001,108,190,208,190,212,190,1486,38030756,1
17,7000,7001,190,190,1486,1486,1486,1486,1486,38382215,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,24783367,1
17,7000,7001,190,1486,1486,1486,1486,1486,1486,37843737,1
17,7001,7000,134,107,107,110,107,1486,1486,37457732,1
17,7000,7001,108,107,107,107,107,107,107,2773717,1
17,7001,7000,110,107,146,107,126,107,1486,37630868,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,15213564,1
17,7001,7000,90,107,1486,1486,1486,1486,1486,35440972,1
17,7000,7001,78,1486,1486,1486,1486,1486,1486,37402238,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,37398340,1
17,7001,7000,86,107,86,107,86,107,86,2750683,1
17,7001,7000,86,107,102,108,108,109,109,2756420,1
17,7001,7000,134,107,110,107,1486,1486,1486,35373279,1
17,7001,7000,86,107,107,102,108,108,109,2735185,1
17,7000,7001,1486,1486,1486,1486,1486,1486,1486,36841193,1
17,7001,7000,146,107,126,107,1486,1486,1486,36849546,1
17,7001,7000,86,365,510,107,102,108,108,14161868,1
17,7000,7001,86,74,107,190,1486,1486,1486,27828239,1
17,7000,7001,190,190,190,1486,1486,150,1486,36440204,1
17,7001,7000,86,107,86,86,107,102,108,2704029,1
17,7000,7001,94,107,107,108,107,107,107,27185025,1
17,7001,7000,86,107,102,107,146,107,126,36223564,1
17,7001,7000,146,107,1486,1486,1486,1486,1486,36063662,1
17,7000,7001,107,542,190,881,1486,296,190,35813495,1
